#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Biological role(s) interactor A	Biological role(s) interactor B	Experimental role(s) interactor A	Experimental role(s) interactor B	Host organism	Identification method participant A	Identification method participant B
uniprot:Q62765	uniprot:O88382	uniprot:Q9UPT2|uniprot:Q8N2Q7|uniprot:D2X2H5	uniprot:A4D1C1|uniprot:Q9UDQ5|uniprot:Q86UL8|uniprot:A7E2C3|uniprot:Q9NP44|uniprot:O60510|uniprot:O60434|uniprot:Q9UDU1|uniprot:Q86UI7	psi-mi:"MI:0096"(pull down)	Iida et al. 2004	pubmed:15555927	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730739	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	COS7	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q62765	uniprot:O88382	uniprot:Q9UPT2|uniprot:Q8N2Q7|uniprot:D2X2H5	uniprot:A4D1C1|uniprot:Q9UDQ5|uniprot:Q86UL8|uniprot:A7E2C3|uniprot:Q9NP44|uniprot:O60510|uniprot:O60434|uniprot:Q9UDU1|uniprot:Q86UI7	psi-mi:"MI:0096"(pull down)	Iida et al. 2004	pubmed:15555927	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730740	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	COS7	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q62765	uniprot:O88382	uniprot:Q9UPT2|uniprot:Q8N2Q7|uniprot:D2X2H5	uniprot:A4D1C1|uniprot:Q9UDQ5|uniprot:Q86UL8|uniprot:A7E2C3|uniprot:Q9NP44|uniprot:O60510|uniprot:O60434|uniprot:Q9UDU1|uniprot:Q86UI7	psi-mi:"MI:0096"(pull down)	Iida et al. 2004	pubmed:15555927	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730741	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	COS7	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q62765	uniprot:O88382	uniprot:Q9UPT2|uniprot:Q8N2Q7|uniprot:D2X2H5	uniprot:A4D1C1|uniprot:Q9UDQ5|uniprot:Q86UL8|uniprot:A7E2C3|uniprot:Q9NP44|uniprot:O60510|uniprot:O60434|uniprot:Q9UDU1|uniprot:Q86UI7	psi-mi:"MI:0096"(pull down)	Iida et al. 2004	pubmed:15555927	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730742	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	COS7	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q62765	uniprot:O88382	uniprot:Q9UPT2|uniprot:Q8N2Q7|uniprot:D2X2H5	uniprot:A4D1C1|uniprot:Q9UDQ5|uniprot:Q86UL8|uniprot:A7E2C3|uniprot:Q9NP44|uniprot:O60510|uniprot:O60434|uniprot:Q9UDU1|uniprot:Q86UI7	psi-mi:"MI:0096"(pull down)	Iida et al. 2004	pubmed:15555927	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730743	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	COS7	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q62765	uniprot:O88382	uniprot:Q9UPT2|uniprot:Q8N2Q7|uniprot:D2X2H5	uniprot:A4D1C1|uniprot:Q9UDQ5|uniprot:Q86UL8|uniprot:A7E2C3|uniprot:Q9NP44|uniprot:O60510|uniprot:O60434|uniprot:Q9UDU1|uniprot:Q86UI7	psi-mi:"MI:0096"(pull down)	Iida et al. 2004	pubmed:15555927	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730744	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	COS7	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:O88382	uniprot:P31016	uniprot:A4D1C1|uniprot:Q9UDQ5|uniprot:Q86UL8|uniprot:A7E2C3|uniprot:Q9NP44|uniprot:O60510|uniprot:O60434|uniprot:Q9UDU1|uniprot:Q86UI7	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Iida et al. 2004	pubmed:15555927	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730745	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:O88382	uniprot:Q62765	uniprot:A4D1C1|uniprot:Q9UDQ5|uniprot:Q86UL8|uniprot:A7E2C3|uniprot:Q9NP44|uniprot:O60510|uniprot:O60434|uniprot:Q9UDU1|uniprot:Q86UI7	uniprot:Q9UPT2|uniprot:Q8N2Q7|uniprot:D2X2H5	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Iida et al. 2004	pubmed:15555927	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730746	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:P31016	uniprot:O88382	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	uniprot:A4D1C1|uniprot:Q9UDQ5|uniprot:Q86UL8|uniprot:A7E2C3|uniprot:Q9NP44|uniprot:O60510|uniprot:O60434|uniprot:Q9UDU1|uniprot:Q86UI7	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Iida et al. 2004	pubmed:15555927	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730747	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:P31016	uniprot:Q62765	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	uniprot:Q9UPT2|uniprot:Q8N2Q7|uniprot:D2X2H5	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Iida et al. 2004	pubmed:15555927	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730748	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q9Y566	uniprot:Q96NW7	uniprot:Q9NYW9|uniprot:B7WNY6|uniprot:A8MXP5	uniprot:Q8WX20|uniprot:Q5VXC3|uniprot:Q5VXC2|uniprot:Q86VE8|uniprot:Q96NW7|uniprot:Q68D07|uniprot:Q9P2I2	psi-mi:"MI:0018"(two hybrid)	Quitsch et al. 2005	pubmed:15647492	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730749	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:Q9Y566	uniprot:Q96NW7	uniprot:Q9NYW9|uniprot:B7WNY6|uniprot:A8MXP5	uniprot:Q8WX20|uniprot:Q5VXC3|uniprot:Q5VXC2|uniprot:Q86VE8|uniprot:Q96NW7|uniprot:Q68D07|uniprot:Q9P2I2	psi-mi:"MI:0018"(two hybrid)	Quitsch et al. 2005	pubmed:15647492	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730750	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:Q9Y566	uniprot:Q96NW7	uniprot:Q9NYW9|uniprot:B7WNY6|uniprot:A8MXP5	uniprot:Q8WX20|uniprot:Q5VXC3|uniprot:Q5VXC2|uniprot:Q86VE8|uniprot:Q96NW7|uniprot:Q68D07|uniprot:Q9P2I2	psi-mi:"MI:0018"(two hybrid)	Quitsch et al. 2005	pubmed:15647492	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730751	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:Q9Y566	uniprot:Q96NW7	uniprot:Q9NYW9|uniprot:B7WNY6|uniprot:A8MXP5	uniprot:Q8WX20|uniprot:Q5VXC3|uniprot:Q5VXC2|uniprot:Q86VE8|uniprot:Q96NW7|uniprot:Q68D07|uniprot:Q9P2I2	psi-mi:"MI:0018"(two hybrid)	Quitsch et al. 2005	pubmed:15647492	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730752	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:Q9WV48	uniprot:P70587	uniprot:Q9Y566|uniprot:Q9NYW9|uniprot:B7WNY6|uniprot:A8MXP5	uniprot:Q8WX20|uniprot:Q5VXC3|uniprot:Q5VXC2|uniprot:Q86VE8|uniprot:Q96NW7|uniprot:Q68D07|uniprot:Q9P2I2	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Quitsch et al. 2005	pubmed:15647492	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730753	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	rat forebrain	psi-mi:"MI:0113"(western blot)	psi-mi:"MI:0113"(western blot)
uniprot:Q9CZN4	uniprot:Q6P8K5	uniprot:C9J314|uniprot:B4DS77|uniprot:C9JCE9	uniprot:Q8WX20|uniprot:Q5VXC3|uniprot:Q5VXC2|uniprot:Q86VE8|uniprot:Q96NW7|uniprot:Q68D07|uniprot:Q9P2I2	psi-mi:"MI:0018"(two hybrid)	Kunde et al. 2017	pubmed:28904854	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730754	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:Q9CZN4	uniprot:Q32M26	uniprot:C9J314|uniprot:B4DS77|uniprot:C9JCE9	uniprot:Q6NUJ2|uniprot:B4E169	psi-mi:"MI:0018"(two hybrid)	Kunde et al. 2017	pubmed:28904854	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730755	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:Q9CZN4	uniprot:Q8BMP6	uniprot:C9J314|uniprot:B4DS77|uniprot:C9JCE9	uniprot:B2RB29|uniprot:Q6P9F1|uniprot:Q9H6U3|uniprot:Q5VTJ0|uniprot:Q9H3P7|uniprot:Q8IZC5|uniprot:Q8N4D6	psi-mi:"MI:0018"(two hybrid)	Kunde et al. 2017	pubmed:28904854	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730756	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:Q9CZN4	uniprot:Q9WU60	uniprot:C9J314|uniprot:B4DS77|uniprot:C9JCE9	uniprot:Q9UC75|uniprot:Q9NTQ3|uniprot:O95414|uniprot:O75882|uniprot:Q9UDF5|uniprot:Q9NU01|uniprot:A8KAE5|uniprot:Q9NZ58|uniprot:O60295|uniprot:Q3MIT3|uniprot:Q9NZ57|uniprot:Q5VYW3|uniprot:Q5TDA4|uniprot:Q5TDA2|uniprot:Q9NTQ4	psi-mi:"MI:0018"(two hybrid)	Kunde et al. 2017	pubmed:28904854	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730757	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:Q9CZN4	uniprot:A2AGT5	uniprot:C9J314|uniprot:B4DS77|uniprot:C9JCE9	uniprot:Q05D70|uniprot:Q2TA89|uniprot:Q0VAX7|uniprot:Q14008|uniprot:Q0VAX8|uniprot:Q14668|uniprot:Q6NSH4	psi-mi:"MI:0018"(two hybrid)	Kunde et al. 2017	pubmed:28904854	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730758	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:Q9CZN4	uniprot:Q91WA4	uniprot:C9J314|uniprot:B4DS77|uniprot:C9JCE9	uniprot:B3KND0|uniprot:Q9NV51|uniprot:Q7LFL8|uniprot:Q9P0S8|uniprot:C8CBA8|uniprot:Q8TB79	psi-mi:"MI:0018"(two hybrid)	Kunde et al. 2017	pubmed:28904854	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730759	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:Q9CZN4	uniprot:Q811D0	uniprot:C9J314|uniprot:B4DS77|uniprot:C9JCE9	uniprot:B4DGZ8|uniprot:B9EIQ5|uniprot:E7EWL7|uniprot:D3DXB9|uniprot:D3DXB8|uniprot:Q12958|uniprot:Q12959|uniprot:E9PG21|uniprot:B7ZMM0|uniprot:A5YKK7|uniprot:B4DGU1	psi-mi:"MI:0018"(two hybrid)	Kunde et al. 2017	pubmed:28904854	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730760	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:Q9CZN4	uniprot:Q91XM9	uniprot:C9J314|uniprot:B4DS77|uniprot:C9JCE9	uniprot:F8W9V6|uniprot:B7WNY8|uniprot:Q59G57|uniprot:Q5H9Q4|uniprot:Q68CQ8|uniprot:Q15700|uniprot:Q6ZTA8	psi-mi:"MI:0018"(two hybrid)	Kunde et al. 2017	pubmed:28904854	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730761	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:Q9CZN4	uniprot:P70175	uniprot:C9J314|uniprot:B4DS77|uniprot:C9JCE9	uniprot:Q5JUW6|uniprot:B4E0H1|uniprot:Q92796|uniprot:Q5JUW7|uniprot:Q9ULI8|uniprot:D3DVU5	psi-mi:"MI:0018"(two hybrid)	Kunde et al. 2017	pubmed:28904854	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730762	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:Q9CZN4	uniprot:Q62108	uniprot:C9J314|uniprot:B4DS77|uniprot:C9JCE9	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	psi-mi:"MI:0018"(two hybrid)	Kunde et al. 2017	pubmed:28904854	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730763	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:Q9CZN4	uniprot:Q9DC33	uniprot:C9J314|uniprot:B4DS77|uniprot:C9JCE9	uniprot:Q53G31|uniprot:Q9NSF6|uniprot:Q9NP66|uniprot:A6NHY3|uniprot:D3DW78	psi-mi:"MI:0018"(two hybrid)	Kunde et al. 2017	pubmed:28904854	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730764	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:Q9CZN4	uniprot:Q9R118	uniprot:C9J314|uniprot:B4DS77|uniprot:C9JCE9	uniprot:D3DRE4|uniprot:Q9UNS5|uniprot:Q92743	psi-mi:"MI:0018"(two hybrid)	Kunde et al. 2017	pubmed:28904854	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730765	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
