ID Interactor A	ID Interactor B	PSINDB Mapping A	PSINDB Mapping B	Interaction Detection Method	Publication Identifier	Taxid Interactor A	Taxid Interactor B	Host organism	Interaction Types	Biological Role Interactor A	Biological Role Interactor B	Experimental Role Interactor A	Experimental Role Interactor B	Feature interactor A	Feature interactor B	Source Database	Interaction Identifier
uniprot:Q62765	uniprot:O88382	NLGN1_HUMAN	MAGI2_HUMAN	psi-mi:mi:0096(pull down)	pubmed:15555927	taxid:10116(rat)	taxid:10116(rat)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:718-839	binding-associated region:303-405	PSINDB	PSINDB:15
uniprot:Q62765	uniprot:O88382	NLGN1_HUMAN	MAGI2_HUMAN	psi-mi:mi:0096(pull down)	pubmed:15555927	taxid:10116(rat)	taxid:10116(rat)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:718-828	binding-associated region:303-405	PSINDB	PSINDB:16
uniprot:O88382	uniprot:P31016	MAGI2_HUMAN	DLG4_HUMAN	psi-mi:mi:0006(anti bait coimmunoprecipitation)	pubmed:15555927	taxid:10116(rat)	taxid:10116(rat)	taxid:10116(rat)	psi-mi:mi:0914(association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)			PSINDB	PSINDB:17
uniprot:O88382	uniprot:Q62765	MAGI2_HUMAN	NLGN1_HUMAN	psi-mi:mi:0006(anti bait coimmunoprecipitation)	pubmed:15555927	taxid:10116(rat)	taxid:10116(rat)	taxid:10116(rat)	psi-mi:mi:0914(association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0496(bait)	psi-mi:mi:0498(prey)			PSINDB	PSINDB:18
uniprot:P31016	uniprot:O88382	DLG4_HUMAN	MAGI2_HUMAN	psi-mi:mi:0006(anti bait coimmunoprecipitation)	pubmed:15555927	taxid:10116(rat)	taxid:10116(rat)	taxid:10116(rat)	psi-mi:mi:0914(association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0496(bait)	psi-mi:mi:0498(prey)			PSINDB	PSINDB:19
uniprot:P31016	uniprot:Q62765	DLG4_HUMAN	NLGN1_HUMAN	psi-mi:mi:0006(anti bait coimmunoprecipitation)	pubmed:15555927	taxid:10116(rat)	taxid:10116(rat)	taxid:10116(rat)	psi-mi:mi:0914(association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0496(bait)	psi-mi:mi:0498(prey)			PSINDB	PSINDB:20
uniprot:Q9Y566	uniprot:Q96NW7	SHAN1_HUMAN	LRRC7_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:15647492	taxid:9606(human)	taxid:9606(human)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:444-646	binding-associated region:1125-1542	PSINDB	PSINDB:21
uniprot:Q9Y566	uniprot:Q96NW7	SHAN1_HUMAN	LRRC7_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:15647492	taxid:9606(human)	taxid:9606(human)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:553-636	binding-associated region:1124-1542	PSINDB	PSINDB:22
uniprot:Q9Y566	uniprot:Q96NW7	SHAN1_HUMAN	LRRC7_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:15647492	taxid:9606(human)	taxid:9606(human)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:444-646	binding-associated region:1245-1542	PSINDB	PSINDB:23
uniprot:Q9Y566	uniprot:Q96NW7	SHAN1_HUMAN	LRRC7_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:15647492	taxid:9606(human)	taxid:9606(human)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:444-646	binding-associated region:1124-1446	PSINDB	PSINDB:24
uniprot:Q9WV48	uniprot:P70587	SHAN1_HUMAN	LRRC7_HUMAN	psi-mi:mi:0006(anti bait coimmunoprecipitation)	pubmed:15647492	taxid:10116(rat)	taxid:10116(rat)	taxid:10116(rat)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0496(bait)	psi-mi:mi:0498(prey)			PSINDB	PSINDB:25
uniprot:Q9CZN4	uniprot:Q32M26	SHSA9_HUMAN	CK087_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:26
uniprot:Q9CZN4	uniprot:Q8BMP6	SHSA9_HUMAN	GCP60_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:27
uniprot:Q9CZN4	uniprot:Q9WU60	SHSA9_HUMAN	ATRN_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:28
uniprot:Q9CZN4	uniprot:A2AGT5	SHSA9_HUMAN	CKAP5_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:29
uniprot:Q9CZN4	uniprot:Q91WA4	SHSA9_HUMAN	CXXC5_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:30
uniprot:Q9CZN4	uniprot:Q811D0	SHSA9_HUMAN	DLG1_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:31
uniprot:Q9CZN4	uniprot:Q91XM9	SHSA9_HUMAN	DLG2_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:32
uniprot:Q9CZN4	uniprot:P70175	SHSA9_HUMAN	DLG3_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:33
uniprot:Q9CZN4	uniprot:Q62108	SHSA9_HUMAN	DLG4_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:34
uniprot:Q9CZN4	uniprot:Q9DC33	SHSA9_HUMAN	HM20A_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:35
uniprot:Q9CZN4	uniprot:Q9R118	SHSA9_HUMAN	HTRA1_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:36
uniprot:Q9CZN4	uniprot:Q60749	SHSA9_HUMAN	KHDR1_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:37
uniprot:Q9CZN4	uniprot:O70263	SHSA9_HUMAN	LNX1_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:38
uniprot:Q9CZN4	uniprot:Q91XL2	SHSA9_HUMAN	LNX2_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:39
uniprot:Q9CZN4	uniprot:Q6RHR9	SHSA9_HUMAN	MAGI1_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:40
uniprot:Q9CZN4	uniprot:Q9EQJ9	SHSA9_HUMAN	MAGI3_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:41
uniprot:Q9CZN4	uniprot:Q3U1V8	SHSA9_HUMAN	M3K9_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:42
uniprot:Q9CZN4	uniprot:Q9QZQ1	SHSA9_HUMAN	AFAD_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:43
uniprot:Q9CZN4	uniprot:Q9JLB2	SHSA9_HUMAN	PALS1_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:44
uniprot:Q9CZN4	uniprot:Q62083	SHSA9_HUMAN	PICK1_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:45
uniprot:Q9CZN4	uniprot:Q8VE92	SHSA9_HUMAN	RBM4B_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:71-424		PSINDB	PSINDB:46
uniprot:Q9CZN4	uniprot:Q80UV9	SHSA9_HUMAN	TAF1_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0496(bait)	psi-mi:mi:0498(prey)	binding-associated region:71-424		PSINDB	PSINDB:47
uniprot:Q9CZN4	uniprot:Q62318	SHSA9_HUMAN	TIF1B_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0496(bait)	psi-mi:mi:0498(prey)	binding-associated region:71-424		PSINDB	PSINDB:48
uniprot:Q9CZN4	uniprot:A0A1L1SSC7	SHSA9_HUMAN	TTC13_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0496(bait)	psi-mi:mi:0498(prey)	binding-associated region:71-424		PSINDB	PSINDB:49
uniprot:Q9CZN4	uniprot:Q9NRD5	SHSA9_HUMAN	PICK1_HUMAN	psi-mi:mi:0007(anti tag coimmunoprecipitation)	pubmed:28904854	taxid:9606(human)	taxid:10090(mouse)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)			PSINDB	PSINDB:50
uniprot:Q9CZN4	uniprot:Q6RHR9	SHSA9_HUMAN	MAGI1_HUMAN	psi-mi:mi:0007(anti tag coimmunoprecipitation)	pubmed:28904854	taxid:10090(mouse)	taxid:10090(mouse)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)			PSINDB	PSINDB:51
uniprot:Q9CZN4	uniprot:P31016	SHSA9_HUMAN	DLG4_HUMAN	psi-mi:mi:0007(anti tag coimmunoprecipitation)	pubmed:28904854	taxid:10116(rat)	taxid:10090(mouse)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)			PSINDB	PSINDB:52
uniprot:Q9CZN4	uniprot:Q92796	SHSA9_HUMAN	DLG3_HUMAN	psi-mi:mi:0007(anti tag coimmunoprecipitation)	pubmed:28904854	taxid:9606(human)	taxid:10090(mouse)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)			PSINDB	PSINDB:53
uniprot:P53779	uniprot:P32121	MK10_HUMAN	ARRB2_HUMAN	psi-mi:mi:0007(anti tag coimmunoprecipitation)	pubmed:23329067	taxid:9606(human)	taxid:9606(human)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)			PSINDB	PSINDB:54
uniprot:P53779	uniprot:P31016	MK10_HUMAN	DLG4_HUMAN	psi-mi:mi:0007(anti tag coimmunoprecipitation)	pubmed:23329067	taxid:10116(rat)	taxid:9606(human)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)			PSINDB	PSINDB:55
uniprot:P53779	uniprot:Q92796	MK10_HUMAN	DLG3_HUMAN	psi-mi:mi:0007(anti tag coimmunoprecipitation)	pubmed:23329067	taxid:9606(human)	taxid:9606(human)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)			PSINDB	PSINDB:56
uniprot:P53779	uniprot:Q9BYB0	MK10_HUMAN	SHAN3_HUMAN	psi-mi:mi:0007(anti tag coimmunoprecipitation)	pubmed:23329067	taxid:9606(human)	taxid:9606(human)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0496(bait)	psi-mi:mi:0498(prey)			PSINDB	PSINDB:57
uniprot:P45983	uniprot:P31016	MK08_HUMAN	DLG4_HUMAN	psi-mi:mi:0424(protein kinase assay)	pubmed:23329067	taxid:10116(rat)	taxid:9606(human)	taxid:-1(in vitro)	psi-mi:mi:0217(phosphorylation reaction)	psi-mi:mi:0502(enzyme target)	psi-mi:mi:0501(enzyme)	psi-mi:mi:0497(neutral component)	psi-mi:mi:0497(neutral component)			PSINDB	PSINDB:58
uniprot:P53779	uniprot:P31016	MK10_HUMAN	DLG4_HUMAN	psi-mi:mi:0424(protein kinase assay)	pubmed:23329067	taxid:10116(rat)	taxid:9606(human)	taxid:-1(in vitro)	psi-mi:mi:0217(phosphorylation reaction)	psi-mi:mi:0502(enzyme target)	psi-mi:mi:0501(enzyme)	psi-mi:mi:0497(neutral component)	psi-mi:mi:0497(neutral component)			PSINDB	PSINDB:59
uniprot:P53779	uniprot:P31016	MK10_HUMAN	DLG4_HUMAN	psi-mi:mi:0007(anti tag coimmunoprecipitation)	pubmed:23329067	taxid:10116(rat)	taxid:9606(human)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)			PSINDB	PSINDB:60
uniprot:P60766	uniprot:Q8BUV3	CDC42_HUMAN	GEPH_HUMAN	psi-mi:mi:0096(pull down)	pubmed:21807943	taxid:10090(mouse)	taxid:10090(mouse)	taxid:10090(mouse)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)			PSINDB	PSINDB:61
